A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
P04746	0	chr1	+	104160049	104168402	104160230,104160722,104161730,104162406,104163306,104164321,104164515,104166606,104166843	104160576,104161533,104162176,104163173,104164199,104164416,104166488,104166718,104168179
P0DUB6	0	chr1	+	104198382	104207176	104198550,104199120,104199612,104200613,104201292,104202165,104203104,104203298,104205397,104205633	104198907,104199466,104200416,104201062,104202032,104202982,104203199,104205279,104205508,104206953
P0DTE7	0	chr1	-	104230037	104238832	104230260,104231705,104231934,104234015,104234232,104235182,104236152,104236798,104237748,104238307	104231580,104231816,104233916,104234110,104235049,104235922,104236601,104237602,104238094,104238664
P0DTE8	0	chr1	+	104292520	104301314	104292688,104293259,104293751,104294752,104295431,104296304,104297243,104297436,104299535,104299771	104293046,104293605,104294555,104295201,104296171,104297121,104297337,104299417,104299646,104301091
Q96LA8	0	chr1	+	107599296	107601916		
Q9Y2I2	0	chr1	+	107683661	108027545	107683762,107691461,107867544,107937948,107950330,107973539,107979421	107690691,107866904,107937776,107950304,107973372,107979287,108023233
Q9UKW4	0	chr1	-	108113783	108507802	108115994,108116820,108138963,108145106,108145785,108152587,108160254,108185377,108226155,108231028,108247272,108247683,108291699,108292216,108293824,108298135,108299951,108303501,108307797,108309172,108311131,108313350,108315465,108319918,108322114,108417639	108116669,108138834,108145019,108145669,108152553,108160189,108185241,108226110,108231003,108247172,108247582,108291590,108292084,108293739,108298049,108299883,108303406,108307698,108309069,108311063,108313258,108315357,108319853,108322056,108417523,108507288
Q6NUK1	0	chr1	-	108676665	108742965	108679459,108681830,108686332,108691008,108697757,108700242,108703915,108724650,108728576	108681680,108686165,108690901,108697605,108700084,108703804,108724563,108728450,108742578
Q96M43	0	chr1	-	108765086	108786698	108766368,108769515,108771778,108775050,108775833,108777033,108777909,108779031,108779960,108781581,108782528,108783786,108784795,108786418	108769301,108771542,108774878,108775782,108776864,108777858,108778892,108779909,108781370,108782450,108783572,108784696,108786206,108786521
Q5VWK0	0	chr1	+	108992965	109014542	108993086,108993401,108994911,108996017,108997139,108998219,108999680,109000697,109001731,109002724,109003806,109004710,109008046,109010287	108993189,108994812,108995803,108997061,108998008,108999629,109000558,109001680,109002555,109003755,109004538,109007810,109010073,109013219
Q5T8I3	0	chr1	+	109102722	109181944	109103187,109143308,109148874,109154916,109159050,109167370,109170884,109171206,109171426,109172279	109143188,109148845,109154800,109159004,109167267,109170789,109171017,109171299,109172210,109177730
Q5T8I9	0	chr1	-	109190917	109203715	109191613,109193010,109193831,109197472,109198320,109200201,109202584	109192833,109193652,109197338,109198208,109200073,109202486,109203585
Q5VTL8	0	chr1	+	109234932	109245550	109235489,109238392,109238816,109238959,109241449	109238324,109238665,109238899,109241226,109241784
Q5VTL7	0	chr1	+	109255530	109285371	109255618,109256151,109260653,109261671,109265214,109268626,109270687,109271508,109273550,109276154,109280146,109284463	109256133,109260399,109261411,109264957,109268372,109270430,109271254,109273296,109275894,109280117,109284395,109284547
O00186	0	chr1	+	109289296	109352145	109289408,109294928,109295766,109299388,109301210,109302707,109315441,109319045,109322032,109325139,109325328,109336269,109337529,109338994,109339348,109340859,109342927,109350171	109294879,109295685,109299312,109301132,109302607,109315287,109318955,109321908,109325044,109325271,109336204,109337449,109338856,109339242,109340767,109342842,109350023,109351405
Q5T1N1	0	chr1	-	109358523	109399716	109358924,109359799,109363248,109366099,109366310,109369924,109373272,109377150,109377678,109380328,109385889,109391436,109391682,109392198,109395389	109359670,109363167,109365992,109366188,109369827,109373181,109377069,109377551,109380172,109385756,109391374,109391534,109392159,109394294,109399551
P81274	0	chr1	+	109419607	109477167	109419850,109428200,109439707,109440249,109440723,109441387,109441616,109444567,109445856,109446876,109457030,109461411,109465198,109466836	109427897,109439486,109440114,109440581,109441264,109441501,109444412,109445748,109446747,109456960,109461235,109465039,109466622,109472323
Q96S66	0	chr1	-	109472127	109506106	109475123,109477564,109480040,109482404,109482764,109484120,109486237,109486679,109490340,109492543,109493070,109505091	109477247,109479699,109482258,109482667,109484027,109486097,109486458,109490233,109492442,109492931,109504931,109505983
O94967	0	chr1	-	109512836	109584724	109514194,109517376,109524486,109525401,109526073,109529302,109533951,109538459,109545024,109547337,109554340,109556547,109560223,109566143	109517158,109524355,109525231,109525904,109529145,109533876,109538202,109544846,109547214,109553538,109556463,109560140,109565977,109584484
Q15543	0	chr1	-	109606762	109618625	109607315,109608854,109617687	109608757,109617609,109618543
Q9NRX6	0	chr1	+	109633386	109639556	109633504,109635643	109635512,109637039
Q5T5A4	0	chr1	-	109648573	109655369	109648720,109649281,109649744,109650659	109649157,109649629,109650543,109655221
Q6UXG2	0	chr1	+	109656737	109749403	109656958,109704636,109707313,109714635,109715190,109716201,109716459,109727755,109730976,109731816,109732304,109734093,109734485,109735496,109737216,109740276,109740697,109741296,109742602,109742859,109743522	109704516,109707121,109714488,109715110,109716096,109716310,109727667,109730799,109731688,109732214,109733988,109734348,109735233,109737043,109740096,109740601,109741195,109742476,109742681,109743357,109745566
P49591	0	chr1	+	109756540	109780804	109756750,109766670,109771054,109772194,109773643,109774408,109778053,109778728,109779170,109779995	109766600,109770974,109772036,109773500,109774253,109777832,109778599,109779013,109779866,109780353
Q9HCU4	0	chr1	+	109792161	109818373	109796011,109801701,109803886,109804250,109804518,109805066,109805591,109805889,109806399,109806987,109807250,109807631,109807933,109808540,109808828,109810264,109810682,109811386,109811630,109811912,109812213,109812442,109812755,109813222,109813661,109813918,109814134,109814344,109815027,109815350,109815649,109815958,109816292	109801054,109803664,109804135,109804430,109804909,109805428,109805764,109806233,109806700,109807076,109807490,109807813,109808357,109808727,109810170,109810473,109811203,109811502,109811732,109812046,109812316,109812555,109813048,109813549,109813839,109814008,109814222,109814900,109815262,109815455,109815788,109816058,109816644
Q6PGN9	0	chr1	-	109822178	109825767	109822778,109823111,109823668,109823873,109824682,109825197,109825358	109823018,109823399,109823759,109824241,109825140,109825302,109825685
A2RUH7	0	chr1	-	109834987	109849633	109835210,109836871,109837919,109838992,109839564,109839811,109840239,109840879	109836828,109837733,109838856,109839405,109839672,109840044,109840791,109849469
Q99523	0	chr1	-	109852197	109940540	109856679,109857006,109857400,109859580,109860591,109865743,109867711,109869782,109870223,109878968,109883501,109884780,109888503,109890154,109893624,109897153,109898091,109910103,109912211	109856883,109857294,109859472,109860475,109865554,109867521,109869614,109870121,109878862,109883346,109884636,109888373,109890105,109893551,109896989,109897989,109910030,109912152,109940209
P28066	0	chr1	-	109941664	109969070	109944712,109952636,109953735,109954557,109954806,109955757,109957985,109964548	109952550,109953633,109954499,109954699,109955690,109957859,109964482,109968924
Q5VXT5	0	chr1	+	110009168	110024756	110009519,110009755,110018327,110019599,110020631	110009681,110018203,110019398,110020440,110022000
A0A804HIX1	0	chr1	+	110026527	110035356	110026702,110028744,110029232,110029839,110030426,110031087,110031722,110032750,110033014,110034339	110028679,110029128,110029629,110030140,110031005,110031469,110032552,110032893,110033544,110035208
Q8N8Q1	0	chr1	+	110036716	110043057	110036909,110037802	110037765,110038378
Q86WK6	0	chr1	-	110046800	110052349	110051621	110052042
Q9BZJ8	0	chr1	+	110082494	110089882	110082575	110085044
P08754	0	chr1	+	110091237	110142817	110091460,110116401,110116659,110121983,110125187,110128967,110129504,110134877	110116359,110116518,110121826,110125059,110128838,110129351,110134665,110134967
Q5T697	0	chr1	-	110145713	110162238	110146166,110146726,110148721,110149058,110151410,110152803,110153129,110155545	110146573,110148592,110148930,110151253,110152662,110153087,110155375,110162105
A0A5F9UK94	0	chr1	+	110162459	110174673	110162900,110163888,110168055,110168414,110168850,110169049,110169534,110169938,110170140,110170525,110170899,110171117,110171428,110171857,110172112,110172538,110173028,110173415	110163536,110167925,110168284,110168782,110168941,110169348,110169797,110170051,110170396,110170705,110170986,110171265,110171731,110171949,110172418,110172855,110173305,110173565
Q03013	0	chr1	+	110198721	110204322	110199047,110199409,110199901,110200293,110200494,110201531,110201732	110199334,110199837,110200212,110200394,110201436,110201622,110203787
P28161	0	chr1	+	110210679	110217908	110210773,110211122,110211611,110211993,110212193,110214004,110214205	110211047,110211547,110211912,110212093,110213909,110214095,110217369
X5DR03	0	chr1	+	110230439	110236367	110230531,110230867,110231359,110231751,110231947,110232988,110233186	110230792,110231295,110231670,110231847,110232893,110233076,110235828
Q5T8R2	0	chr1	+	110254873	110260890	110254970,110255315,110255805,110256187,110256383,110257664,110257862	110255240,110255741,110256106,110256283,110257569,110257752,110259959
Q6FGJ9	0	chr1	-	110276559	110283660	110279791,110280189,110280373,110280813,110280988,110282115,110282530,110283133	110280079,110280278,110280713,110280907,110282051,110282455,110282862,110283575
Q8TE67	0	chr1	-	110292702	110306545	110293024,110293414,110293973,110294404,110294815,110295342,110295820,110299787,110300177,110300485,110300680,110301053,110301285,110301739,110302009,110302458,110304181,110304395	110293282,110293900,110294276,110294617,110295308,110295739,110299639,110300103,110300424,110300566,110300938,110301146,110301684,110301860,110302300,110304117,110304341,110306444
P09603	0	chr1	+	110453471	110473614	110453684,110457003,110458318,110460085,110464616,110466812,110467450,110467824	110456881,110458256,110459915,110464469,110465788,110467398,110467769,110471474
O43865	0	chr1	+	110527387	110566364	110527794,110551767,110553979,110555084,110555621,110557479,110558153,110559082,110559352,110560205,110560638,110561089,110561272,110561741,110562248,110563473	110551656,110553836,110554984,110555519,110557385,110558047,110558966,110559289,110560117,110560568,110560995,110561174,110561673,110562170,110563353,110564296
Q5VSL9	0	chr1	+	110577246	110597263	110577439,110580582,110581379,110581928,110582137,110583325,110584264,110584483,110585892,110586478,110587527,110587700,110589373,110590238,110590491,110591860,110592182,110593031,110593682,110594509	110580513,110581305,110581794,110582017,110583257,110584158,110584356,110585710,110586261,110587462,110587637,110589302,110590164,110590394,110591734,110592082,110592965,110593578,110594305,110596287
O95076	0	chr1	-	110602492	110613294	110603663,110604185,110607525	110604057,110607209,110612958
Q8N7F7	0	chr1	+	110655065	110656569		
Q9H1V8	0	chr1	+	110693116	110744824	110693505,110709837,110714839,110716721,110717582,110719361,110734835,110735320,110737393,110738367,110740221	110709465,110714682,110716595,110717401,110719251,110734594,110735128,110737201,110738208,110740059,110740698
Q03721	0	chr1	+	110752936	110776666	110754799,110766522,110768800	110765586,110768597,110775533
Q96T37	0	chr1	+	110881999	110889299	110884890,110888271	110888161,110888930
O15374	0	chr1	-	110905479	110933648	110906515,110918173,110919783,110921978,110923765,110924417,110925588,110931977	110918080,110919572,110921475,110923604,110924274,110925456,110931859,110933487
O43504	0	chr1	-	110943875	110950316	110944205,110946658,110949001	110946541,110948940,110950208
P58294	0	chr1	+	110993771	110999980	110993910,110996708	110996583,110998854
Q16322	0	chr1	-	111059839	111061797		
P16389	0	chr1	-	111136202	111148980	111147567,111148344	111148013,111148850
P22001	0	chr1	-	111215087	111217562		
P19397	0	chr1	+	111415770	111442544	111415870,111434093,111435155,111437023,111437677,111439355,111440514	111434014,111434967,111436949,111437582,111439275,111440431,111441746
Q5T3J3	0	chr1	-	111489812	111506544	111491021,111492745,111495437	111492473,111493910,111506243
Q6UX65	0	chr1	-	111659785	111682715	111660889,111661519,111662581,111663315,111667503,111668916,111674190,111680208,111682288	111661427,111662499,111663138,111667364,111668849,111674046,111680145,111682123,111682660
Q9Y6K0	0	chr1	+	111682845	111727726	111682929,111690675,111702149,111703918,111717585,111724940,111725579,111726209	111690264,111702002,111703777,111717501,111724809,111725421,111726084,111726813
Q9H6A0	0	chr1	-	111728591	111743268	111730303,111730992,111731408,111731875,111734939,111737348,111738678,111739875,111740611,111741364,111742420	111730753,111731324,111731834,111734762,111737200,111738538,111739798,111740542,111741252,111742245,111743015
Q15782	0	chr1	+	111770335	111786062	111770391,111772503,111773565,111773916,111777679,111778385,111778775,111781554,111784065,111784988	111772474,111773364,111773860,111777529,111778261,111778646,111781372,111783949,111784849,111785839
Q9BZP6	0	chr1	+	111833473	111863185	111833572,111853114,111854340,111855013,111857218,111858057,111860427,111860731,111861300,111861861,111862090	111853022,111854311,111854812,111857162,111857892,111860303,111860608,111861115,111861742,111861949,111862835
Q8TCI5	0	chr1	+	111889244	111895635	111889293,111889671,111890394,111891268,111892845	111889532,111890296,111891138,111892728,111893881
Q12889	0	chr1	-	111956941	111970357	111957966,111959080,111962348,111964083,111964295,111965673,111966330,111968061,111969263,111969713	111958945,111962232,111963898,111964187,111965549,111966165,111968005,111969059,111969684,111970319
Q9BQA1	0	chr1	-	111982512	111991878	111984011,111984715,111985383,111986016,111986543,111986746,111989766,111990198,111991426	111984647,111985275,111985945,111986489,111986676,111989717,111990057,111991241,111991677
Q08ET0	0	chr1	+	111992086	112005395	111992203,111992495,111996978,111998871,111999377,112002258	111992459,111996833,111998708,111999252,112002079,112003539
Q8NEQ5	0	chr1	+	112016606	112021134	112016652,112018687,112019489,112020050,112020397	112018640,112019420,112019956,112020348,112020605
P0DMS9	0	chr1	-	112025970	112046255	112026379,112028462,112029274,112031646,112033384	112028362,112029208,112031299,112033278,112045627
P0DMS8	0	chr1	-	112042051	112046255	112043178	112045627
P62834	0	chr1	+	112162411	112259313	112162556,112234039,112238031,112240119,112246098,112247108,112251886	112233956,112237963,112240063,112245958,112246965,112251771,112255053
Q9NTI7	0	chr1	-	112264686	112282017	112270426	112281808
Q9UHI6	0	chr1	+	112298523	112310622	112298847,112299362,112302190,112303210,112303470,112303747,112303906,112304959,112305404,112305629	112299268,112302022,112303096,112303328,112303609,112303848,112304877,112305299,112305528,112308359
